Tahun Kelahiran,Kelas Pekerjaan,fnlwgt,Pendidikan,Jenjang Pendidikan,Status,Pekerjaan,Hubungan,Etnis,sex,pendapatan,pengeluaran,hours per week,Asal Negara,jumlah_anak,income,no_income
1991,Pemerintah daerah,34080,Diploma,Kuliah,Menikah,Layanan Perlindungan,Suami,1,Male,0,0,40,United-States,3,>50K,0
1992,Swasta,199529,Diploma,Kuliah,Rencana Cerai,Dukungan Teknis,Tidak dalam Keluarga,4,Male,0,1980,40,United-States,2,<=50K,0
1989,Swasta,360814,kelas 9,SMP_2,Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,45,United-States,1,<=50K,0
1999,Swasta,344804,SMA Grad,SMA Grad,Menikah,Layanan Lainnya,Suami,1,Male,0,0,50,Mexico,2,<=50K,0
1954,Swasta,89787,SMA Grad,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,20,United-States,3,<=50K,0
1985,Pengusaha perorangan,55568,Sarjana,Sarjana,Menikah,Pertanian dan Perikanan,Istri,1,Female,0,0,50,United-States,1,<=50K,0
1984,Pemerintah daerah,34540,Magister,Magister,Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,44,United-States,1,<=50K,0
1971,Swasta,346253,SMA Grad,SMA Grad,Cerai,Sales,Punya Anak,1,Female,0,0,35,United-States,3,<=50K,0
1999,Swasta,101684,kelas 10,SMA_1,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1986,Swasta,240467,Magister,Magister,Belum-menikah,Eksekutif Manager,Belum Menikah,2,Female,0,0,35,United-States,0,<=50K,0
1978,Swasta,81136,Asosiasi vokasional,vokasi Grad_2,Cerai,Eksekutif Manager,Belum Menikah,1,Male,0,0,30,United-States,1,<=50K,0
1988,Swasta,306646,Sarjana,Sarjana,Menikah,Eksekutif Manager,Suami,1,Male,0,0,55,United-States,0,>50K,0
1993,Swasta,332379,kelas 7-8,SMP_1,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1978,Pemerintah negara,106705,Diploma,Kuliah,Cerai,Spesialis Profesional,Belum Menikah,1,Female,1506,0,50,United-States,2,<=50K,0
1983,Swasta,196456,Magister,Magister,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1978,Pemerintah daerah,33373,Sarjana,Sarjana,Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1995,Swasta,236436,SMA Grad,SMA Grad,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1947,Swasta,154205,SMA Grad,SMA Grad,Duda/Janda,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,10,United-States,0,<=50K,0
1990,Swasta,532379,Diploma,Kuliah,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1967,Swasta,127277,Doktor,Proffesor,Menikah,Spesialis Profesional,Suami,3,Male,0,0,40,Taiwan,3,>50K,0
1982,Swasta,224203,Diploma,Kuliah,Duda/Janda,Sales,Belum Menikah,2,Female,0,0,40,United-States,2,<=50K,0
1977,Swasta,223342,SMA Grad,SMA Grad,Duda/Janda,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,2174,0,40,England,3,<=50K,0
1967,Swasta,199572,kelas 11,SMA_2,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1992,Pengusaha perorangan,116834,SMA Grad,SMA Grad,Menikah,Layanan Lainnya,Istri,1,Female,0,0,5,United-States,1,<=50K,0
1981,Swasta,84661,Asosiasi vokasional,vokasi Grad_2,Menikah,Sales,Suami,1,Male,0,0,45,United-States,1,<=50K,0
1990,Swasta,227689,Asosiasi vokasional,vokasi Grad_2,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,64,United-States,0,<=50K,0
1963,Swasta,232808,kelas 10,SMA_1,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,24,United-States,2,<=50K,0
1981,Swasta,57600,Doktor,Proffesor,LDM,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K,0
1975,Swasta,59612,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,44,United-States,0,<=50K,0
1983,Swasta,170230,Sarjana,Sarjana,Cerai,Eksekutif Manager,Belum Menikah,1,Female,0,0,45,United-States,0,<=50K,0
1986,Swasta,127865,Magister,Magister,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,0,<=50K,0
1989,Swasta,70447,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Belum Menikah,3,Male,4650,0,20,United-States,0,<=50K,0
1958,Swasta,222810,Diploma,Kuliah,Cerai,Spesialis Profesional,Kerabat,1,Female,0,0,35,United-States,0,<=50K,0
2004,Pemerintah pusat,225515,Diploma,Kuliah,Belum-menikah,Dukungan Teknis,Punya Anak,1,Female,0,0,24,United-States,0,<=50K,0
1997,Swasta,218184,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,2,Female,0,0,40,Jamaica,0,<=50K,0
1994,Swasta,340917,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
2002,Swasta,184779,SMA Grad,SMA Grad,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1997,Swasta,89598,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Belum Menikah,1,Female,0,0,60,United-States,0,<=50K,0
1994,Pengusaha perorangan,281030,SMA Grad,SMA Grad,Belum-menikah,Sales,Belum Menikah,1,Male,0,0,66,United-States,0,<=50K,0
1986,Pemerintah pusat,125933,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,Iran,0,>50K,0
1997,Swasta,225142,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1992,Swasta,286675,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Kerabat,1,Male,0,0,40,United-States,0,<=50K,0
1969,Pemerintah daerah,296085,Asosiasi akademik,vokasi Grad_1,Menikah,Spesialis Profesional,Suami,3,Male,0,0,40,United-States,2,>50K,0
1968,Swasta,204816,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,55,United-States,2,>50K,0
1983,Pengusaha perorangan,238184,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Istri,1,Female,0,0,40,United-States,3,<=50K,0
1996,Swasta,115971,Diploma,Kuliah,Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,1,<=50K,0
1995,Pemerintah daerah,107411,Proffesor,Doktor,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,70,United-States,0,<=50K,0
1996,Swasta,30070,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,50,United-States,3,<=50K,0
2001,Swasta,180837,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Punya Anak,2,Female,0,0,40,United-States,0,<=50K,0
2001,Swasta,216639,Sarjana,Sarjana,Belum-menikah,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
2002,Swasta,57827,Diploma,Kuliah,Belum-menikah,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1964,Swasta,141580,SMA Grad,SMA Grad,Menikah,Dukungan Teknis,Suami,1,Male,0,0,50,United-States,1,>50K,0
1970,Swasta,215990,Diploma,Kuliah,Menikah,Dukungan Teknis,Suami,1,Male,7688,0,40,United-States,2,>50K,0
1985,Pemerintah negara,42186,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Istri,3,Female,3464,0,20,United-States,1,<=50K,0
1993,Swasta,217460,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,45,United-States,2,>50K,0
1987,Pemerintah daerah,65291,Asosiasi vokasional,vokasi Grad_2,Belum-menikah,Layanan Perlindungan,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
2003,Swasta,123727,SMA Grad,SMA Grad,Belum-menikah,Eksekutif Manager,Kerabat,1,Female,0,0,40,United-States,0,<=50K,0
1981,Swasta,218558,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1991,Swasta,198069,SMA Grad,SMA Grad,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,65,United-States,0,<=50K,0
1961,Swasta,275034,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,1740,35,United-States,1,<=50K,0
1983,Swasta,150755,Doktor,Proffesor,Menikah,Eksekutif Manager,Suami,1,Male,15024,0,50,Canada,2,>50K,0
2006,Swasta,404868,kelas 11,SMA_2,Belum-menikah,Sales,Punya Anak,2,Female,0,1602,20,United-States,0,<=50K,0
1987,Swasta,308691,Sarjana,Sarjana,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,45,United-States,0,>50K,0
1983,Pemerintah daerah,344624,Diploma,Kuliah,Menikah,Layanan Lainnya,Suami,1,Male,0,1485,40,United-States,0,>50K,0
1982,Pengusaha perorangan,39539,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,99,United-States,3,>50K,0
2007,Pengusaha perorangan,48703,kelas 11,SMA_2,Belum-menikah,Pertanian dan Perikanan,Punya Anak,1,Female,0,0,30,United-States,0,<=50K,0
1997,Pemerintah daerah,282664,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,5,Female,0,0,45,United-States,0,<=50K,0
1963,Swasta,160942,Magister,Magister,Menikah,Sales,Suami,1,Male,3103,0,50,United-States,0,<=50K,0
1986,Swasta,320451,Magister,Magister,Menikah,Spesialis Profesional,Suami,3,Male,0,0,40,United-States,0,<=50K,0
2004,Pemerintah negara,126822,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Punya Anak,1,Female,0,0,15,United-States,0,<=50K,0
1999,Swasta,38090,Sarjana,Sarjana,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,44,United-States,0,<=50K,0
1966,Swasta,200040,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1997,Pengusaha berbadan hukum,233724,SMA Grad,SMA Grad,Rencana Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,38,United-States,0,<=50K,0
1985,Swasta,216149,Proffesor,Doktor,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,70,United-States,2,>50K,0
1987,Pengusaha perorangan,143368,Doktor,Proffesor,Menikah,Spesialis Profesional,Suami,1,Male,0,0,60,United-States,1,<=50K,0
1985,Swasta,301867,Sarjana,Sarjana,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,3,Female,0,0,24,Philippines,3,<=50K,0
1976,Pengusaha berbadan hukum,382242,Doktor,Proffesor,Menikah,Eksekutif Manager,Istri,1,Female,0,0,40,United-States,0,>50K,0
2001,Swasta,147253,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Sales,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1996,Swasta,227840,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1958,Swasta,102423,Asosiasi vokasional,vokasi Grad_2,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,30,United-States,1,<=50K,0
1986,Swasta,338212,Diploma,Kuliah,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,20,United-States,2,<=50K,0
1991,Swasta,118551,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1966,Swasta,56331,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1991,Swasta,40681,Diploma,Kuliah,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,3674,0,16,United-States,0,<=50K,0
1990,Swasta,112584,kelas 10,SMA_1,Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,0,38,United-States,3,<=50K,0
2003,Swasta,200153,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,32,United-States,0,<=50K,0
1989,Swasta,328466,kelas 9,SMP_2,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,Mexico,0,<=50K,0
1971,Swasta,123429,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,60,United-States,2,>50K,0
2004,Swasta,436253,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,35,United-States,0,<=50K,0
1990,Swasta,248754,kelas 11,SMA_2,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1993,Swasta,173495,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1985,Pengusaha berbadan hukum,167482,Asosiasi akademik,vokasi Grad_1,Menikah,Eksekutif Manager,Suami,1,Male,0,0,50,United-States,3,>50K,0
1990,Swasta,230246,kelas 9,SMP_2,Rencana Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1964,Swasta,71683,kelas 9,SMP_2,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,49,United-States,0,<=50K,0
1967,Pengusaha perorangan,413373,Doktor,Proffesor,Menikah,Sales,Suami,1,Male,0,1902,40,United-States,0,>50K,0
1989,Pemerintah daerah,116960,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,1887,40,United-States,0,>50K,0
1969,Swasta,276229,Diploma,Kuliah,Cerai,Dukungan Teknis,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
2006,Swasta,175648,kelas 11,SMA_2,Belum-menikah,Dukungan Teknis,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1987,Swasta,38948,SMA Grad,SMA Grad,Menikah,Spesialis Profesional,Suami,1,Male,0,0,50,United-States,1,>50K,0
1994,Pengusaha perorangan,347166,SMA Grad,SMA Grad,Cerai,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,2,<=50K,0
1981,Pemerintah pusat,192712,Diploma,Kuliah,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,1,>50K,0
1981,Pemerintah daerah,118600,Sarjana,Sarjana,Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,625,40,United-States,1,<=50K,0
1956,Pengusaha perorangan,241174,kelas 7-8,SMP_1,Menikah,Eksekutif Manager,Suami,1,Male,0,0,16,United-States,2,<=50K,0
2007,Pengusaha perorangan,170320,kelas 11,SMA_2,Belum-menikah,Eksekutif Manager,Punya Anak,1,Female,0,0,8,United-States,0,<=50K,0
2005,Pengusaha perorangan,400356,Diploma,Kuliah,Belum-menikah,Eksekutif Manager,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
2007,Swasta,181580,kelas 11,SMA_2,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,16,United-States,0,<=50K,0
1969,Swasta,316027,kelas 7-8,SMP_1,Menikah,Layanan Lainnya,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1960,Swasta,126233,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,20,United-States,0,<=50K,0
1960,Swasta,103021,kelas 7-8,SMP_1,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1968,Pemerintah daerah,381965,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,15024,0,40,United-States,1,>50K,0
1990,Swasta,319854,Doktor,Proffesor,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Male,0,0,40,Taiwan,0,>50K,0
1966,Swasta,169982,Diploma,Kuliah,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,2,>50K,0
1988,Pengusaha perorangan,188972,Doktor,Proffesor,Rencana Cerai,Spesialis Profesional,Belum Menikah,1,Female,0,0,10,Canada,2,<=50K,0
2002,Swasta,416165,Diploma,Kuliah,Belum-menikah,Sales,Belum Menikah,1,Female,0,0,32,United-States,0,<=50K,0
1988,Swasta,326886,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,1,>50K,0
1997,Pengusaha perorangan,243569,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1975,Pengusaha perorangan,123598,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,30,United-States,0,<=50K,0
1976,Pengusaha perorangan,164582,Diploma,Kuliah,Menikah,Pertanian dan Perikanan,Suami,1,Male,7298,0,60,United-States,1,>50K,0
1992,Swasta,167990,SMA Grad,SMA Grad,Menikah,Eksekutif Manager,Suami,1,Male,0,0,40,Ireland,1,<=50K,0
1998,Swasta,115717,Diploma,Kuliah,Menikah,Administratif dan Kantor,Suami,1,Male,0,2051,40,United-States,1,<=50K,0
1975,Swasta,177426,SMA Grad,SMA Grad,Cerai,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,20,United-States,2,<=50K,0
1981,Swasta,112607,kelas 11,SMA_2,Menikah,Sales,Suami,1,Male,0,0,60,United-States,0,<=50K,0
1999,Swasta,200681,Diploma,Kuliah,Belum-menikah,Sales,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1962,Swasta,200332,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1994,Swasta,96851,Diploma,Kuliah,Belum-menikah,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,0,1719,25,United-States,0,<=50K,0
1963,Pengusaha berbadan hukum,139391,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,1902,35,United-States,3,>50K,0
1969,Pengusaha berbadan hukum,141807,Sarjana,Sarjana,Menikah,Sales,Suami,1,Male,0,0,60,United-States,1,>50K,0
1986,Swasta,43712,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,7298,0,60,United-States,2,>50K,0
1958,Swasta,99888,Asosiasi vokasional,vokasi Grad_2,Duda/Janda,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1993,Swasta,60229,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1,<=50K,0
1975,Swasta,206947,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K,0
1948,Swasta,127016,kelas 7-8,SMP_1,Duda/Janda,Pembantu Rumah Tangga,Tidak dalam Keluarga,1,Female,0,0,40,United-States,3,<=50K,0
1969,Pemerintah negara,181641,Diploma,Kuliah,Cerai,Spesialis Profesional,Tidak dalam Keluarga,2,Female,0,0,37,United-States,0,<=50K,0
1970,Swasta,457237,Magister,Magister,Menikah,Sales,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1999,Swasta,228608,Diploma,Kuliah,Belum-menikah,Pekerjaan Kerajinan,Kerabat,3,Female,0,0,40,Cambodia,0,<=50K,0
2000,Swasta,265567,kelas 11,SMA_2,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,35,United-States,0,<=50K,0
2002,Swasta,351381,Asosiasi vokasional,vokasi Grad_2,Belum-menikah,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1990,Pengusaha perorangan,177639,Asosiasi akademik,vokasi Grad_1,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1989,Swasta,47707,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,2,Female,0,0,40,United-States,0,<=50K,0
1983,Swasta,37869,SMA Grad,SMA Grad,Menikah,Sales,Suami,1,Male,0,1902,40,United-States,0,>50K,0
1995,Pemerintah pusat,360527,Magister,Magister,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,3,>50K,0
1990,Swasta,162442,SMA Grad,SMA Grad,Menikah,Administratif dan Kantor,Istri,1,Female,0,0,20,United-States,0,>50K,0
2003,Swasta,349365,Diploma,Kuliah,Belum-menikah,Administratif dan Kantor,Punya Anak,1,Female,0,0,15,United-States,0,<=50K,0
1989,Swasta,142282,Diploma,Kuliah,Rencana Cerai,Layanan Lainnya,Belum Menikah,1,Female,0,0,25,United-States,1,<=50K,0
1991,Pemerintah pusat,37546,Proffesor,Doktor,Menikah,Spesialis Profesional,Istri,1,Female,0,0,40,United-States,1,>50K,0
2001,Pemerintah daerah,324960,SMA Grad,SMA Grad,Belum-menikah,Pertanian dan Perikanan,Tidak dalam Keluarga,1,Male,0,0,40,Poland,0,<=50K,0
1973,Swasta,99064,Asosiasi vokasional,vokasi Grad_2,Menikah,Pekerjaan Kerajinan,Suami,1,Male,5013,0,40,United-States,1,<=50K,0
2002,Swasta,162343,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Kerabat,2,Male,0,0,20,United-States,0,<=50K,0
1988,Swasta,272944,Asosiasi vokasional,vokasi Grad_2,Menikah,Eksekutif Manager,Suami,1,Male,0,0,60,United-States,3,>50K,0
1974,Swasta,173630,SMA Grad,SMA Grad,Menikah,Pertanian dan Perikanan,Suami,1,Male,0,0,35,United-States,0,<=50K,0
1996,Swasta,209641,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Male,0,0,32,United-States,0,<=50K,0
1975,Swasta,31339,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1992,Swasta,263908,Sarjana,Sarjana,Menikah,Spesialis Profesional,Suami,1,Male,0,0,40,United-States,0,<=50K,0
1981,Pemerintah pusat,263502,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Male,0,0,40,United-States,0,<=50K,0
1966,Pemerintah pusat,210031,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Belum Menikah,1,Male,0,0,40,United-States,3,<=50K,0
1953,Swasta,193530,kelas 11,SMA_2,Belum-menikah,Pembantu Rumah Tangga,Tidak dalam Keluarga,1,Female,0,0,75,United-States,0,<=50K,0
1962,Swasta,194167,SMA Grad,SMA Grad,Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Female,2174,0,40,United-States,3,<=50K,0
2001,Swasta,526164,Sarjana,Sarjana,Belum-menikah,Administratif dan Kantor,Belum Menikah,2,Female,0,0,40,United-States,0,<=50K,0
1962,Pengusaha perorangan,173631,Diploma,Kuliah,Menikah,Eksekutif Manager,Suami,1,Male,0,0,70,United-States,3,<=50K,0
1970,Swasta,256908,Sarjana,Sarjana,Menikah,Dukungan Teknis,Suami,1,Male,0,0,25,United-States,1,>50K,0
2001,Swasta,220168,SMA Grad,SMA Grad,Belum-menikah,Sales,Kerabat,2,Female,0,0,25,Jamaica,0,<=50K,0
1980,Pengusaha perorangan,172296,Diploma,Kuliah,Rencana Cerai,Sales,Belum Menikah,1,Male,0,0,60,United-States,0,<=50K,0
1989,Swasta,233786,kelas 11,SMA_2,Rencana Cerai,Layanan Lainnya,Belum Menikah,1,Male,0,0,20,United-States,0,<=50K,0
1975,Swasta,178749,Magister,Magister,LDM,Administratif dan Kantor,Belum Menikah,1,Female,0,0,40,United-States,2,<=50K,0
1968,Swasta,175127,kelas 10,SMA_1,Menikah,Pengelola Kebersihan,Suami,1,Male,0,0,40,United-States,2,<=50K,0
1994,Swasta,162572,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,1,Male,0,0,70,United-States,0,>50K,0
1998,Swasta,37202,Sarjana,Sarjana,Belum-menikah,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,45,United-States,0,<=50K,0
1993,Pemerintah negara,358461,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,3,Male,0,0,40,United-States,0,<=50K,0
1989,Pemerintah negara,172475,Sarjana,Sarjana,Belum-menikah,Eksekutif Manager,Tidak dalam Keluarga,3,Female,2977,0,45,United-States,0,<=50K,0
1983,Pemerintah daerah,340682,SMA Grad,SMA Grad,Cerai,Administratif dan Kantor,Tidak dalam Keluarga,1,Female,0,0,40,United-States,2,<=50K,0
1966,Swasta,56392,Diploma,Kuliah,Menikah,Sales,Suami,1,Male,0,0,40,United-States,3,<=50K,0
1994,Swasta,54608,Diploma,Kuliah,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,48,United-States,0,<=50K,0
1993,Swasta,198751,Sarjana,Sarjana,Belum-menikah,Pekerjaan Kerajinan,Tidak dalam Keluarga,3,Male,0,0,40,Vietnam,0,<=50K,0
1987,Swasta,83893,Asosiasi vokasional,vokasi Grad_2,Menikah,Administratif dan Kantor,Suami,1,Male,0,0,40,United-States,3,<=50K,0
2004,Swasta,400443,SMA Grad,SMA Grad,Belum-menikah,Sales,Punya Anak,1,Female,0,0,20,United-States,0,<=50K,0
1980,Swasta,172025,Diploma,Kuliah,Rencana Cerai,Administratif dan Kantor,Belum Menikah,1,Female,0,0,38,United-States,2,<=50K,0
1993,Swasta,345277,Sarjana,Sarjana,Cerai,Spesialis Profesional,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
2007,Swasta,169155,kelas 12,SMA_3,Belum-menikah,Layanan Lainnya,Punya Anak,1,Male,0,0,35,United-States,0,<=50K,0
1974,Swasta,107265,SMA Grad,SMA Grad,Menikah,Transportasi dan Pengangkutan,Suami,1,Male,0,0,50,United-States,1,>50K,0
1983,Swasta,444743,SMA Grad,SMA Grad,Cerai,Dukungan Teknis,Belum Menikah,1,Female,0,0,40,United-States,1,<=50K,0
1975,Swasta,129640,SMA Grad,SMA Grad,Belum-menikah,Layanan Lainnya,Tidak dalam Keluarga,1,Female,0,0,40,United-States,0,<=50K,0
1992,Pemerintah daerah,286101,SMA Grad,SMA Grad,Belum-menikah,Transportasi dan Pengangkutan,Belum Menikah,2,Female,0,0,37,United-States,0,<=50K,0
1969,Pengusaha perorangan,105582,Magister,Magister,Menikah,Sales,Suami,1,Male,2228,0,50,United-States,2,<=50K,0
1967,Pengusaha perorangan,184553,SMA Grad,SMA Grad,Menikah,Pekerjaan Kerajinan,Suami,1,Male,0,0,50,United-States,1,>50K,0
2005,Swasta,117444,SMA Grad,SMA Grad,Belum-menikah,Pekerjaan Kerajinan,Punya Anak,1,Male,0,0,40,United-States,0,<=50K,0
1982,Swasta,350387,SMA Grad,SMA Grad,Rencana Cerai,Inspeksi dan Operasi Mesin,Tidak dalam Keluarga,1,Male,0,0,15,United-States,2,<=50K,0
1962,Swasta,81578,SMA Grad,SMA Grad,Menikah,Inspeksi dan Operasi Mesin,Suami,1,Male,0,0,40,United-States,1,>50K,0
2003,Swasta,143604,Diploma,Kuliah,Belum-menikah,Layanan Lainnya,Punya Anak,1,Female,0,0,29,United-States,0,<=50K,0
